Nome,Ultimo,%,Ora,Min,Max,Riferimento,,Link,SFDR
Bnp Paribas Easy Msci Usa Sri Pab Ucits Etf,"22,0939","+0,06",17:35:11,"22,0689","22,1211","22,0939",,/borsa/etf/scheda/LU1659681586-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Msci Usa Sri Pab Ucits Etf,"23,0278","+0,02",17:35:18,"23,0155","23,0278","23,0278",,/borsa/etf/scheda/LU1291103338-XPMC.html?lang=it,Art. 9
Bnp Paribas Easy Msci World Sri Pab Ucits Etf,"21,905","-0,25",13:04:52,"21,905","21,925","21,94",,/borsa/etf/scheda/LU1615092217-ETFP.html?lang=it,Art. 9
Bnp Paribas Easy Msci World Sri Pab Ucits Etf,"21,0945","-0,01",14:12:06,"21,038","21,0945","21,0913",,/borsa/etf/scheda/LU1291108642-XPMC.html?lang=it,Art. 9
Bnp Paribas Easy Msci World Sri Pab Ucits Etf,"21,9611","-0,00",17:35:02,"21,88","21,9611","21,9611",,/borsa/etf/scheda/LU1615092217-XPAR.html?lang=it,Art. 9
Bnpp Easy Ecpi Gl Esg Hydrogen Ucits Etf,"13,948","-0,39",17:35:23,"13,924","14,002","13,948",,/borsa/etf/scheda/LU2365458145-ETFP.html?lang=it,Art. 9
Bnpp Easy Ftse Epra Eu Ctb Ucits Etf,,,,,,"6,803",,/borsa/etf/scheda/LU2008763935-ETFP.html?lang=it,Art. 9
Bnpp Easy Low Carb Europe Pab Ucits Etf,"278,65","-0,25",17:35:04,"278,05","279,15","278,65",,/borsa/etf/scheda/LU1377382368-ETFP.html?lang=it,Art. 9
Bnpp Ecpi Circular Econ Lead Ucits Etf,"21,305","+0,24",17:35:28,"21,305","21,42","21,305",,/borsa/etf/scheda/LU1953136527-ETFP.html?lang=it,Art. 9
Bnpp Ecpi Glb Esg Blue Economy Ucits Etf,"17,96","-0,12",10:06:03,"17,96","17,96","17,918",,/borsa/etf/scheda/LU2194447293-ETFP.html?lang=it,Art. 9
Bnpp Low Carbon 300 World Pab Ucits Etf,,,,,,"17,83",,/borsa/etf/scheda/LU2194449075-ETFP.html?lang=it,Art. 9
Fidelity Eur Corp Bond Research Enhanced Pab Ucits Etf,,,,,,"5,34",,/borsa/etf/scheda/IE0000VKUF67-ETFP.html?lang=it,Art. 9
Fidelity Eur Hy Corp Bond Research Enhanced Pab Ucits Etf - Inc,,,,,,"5,055",,/borsa/etf/scheda/IE000HDEYKM3-ETFP.html?lang=it,Art. 9
Fidelity Global Corp Bond Research Enhanced Pab Ucits Etf,,,,,,"3,6185",,/borsa/etf/scheda/IE00BM9GRM34-ETFP.html?lang=it,Art. 9
Fidelity Global Corp Bond Research Enhanced Pab Ucits Etf,,,,,,"5,893",,/borsa/etf/scheda/IE0006QCIHM0-ETFP.html?lang=it,Art. 9
Fidelity Global Hy Corp Bond Research Enhanced Pab Ucits Etf,,,,,,"4,5875",,/borsa/etf/scheda/IE0006OIQXE9-ETFP.html?lang=it,Art. 9
Fidelity Global Hy Corp Bond Research Enhanced Pab Ucits Etf,"4,712","+0,17",12:05:40,"4,712","4,712","4,6985",,/borsa/etf/scheda/IE0006KNOFD1-ETFP.html?lang=it,Art. 9
Franklin Sust Eu Green Crp 1-5 Ucits Etf,"27,99","+0,00",17:11:09,"27,99","27,99","27,98",,/borsa/etf/scheda/IE0006K7DEL9-ETFP.html?lang=it,Art. 9
Franklin Sust Euro Green Sover Ucits Etf,"27,005","-0,61",10:49:45,"27,005","27,005","27,155",,/borsa/etf/scheda/IE000P0R7WK6-ETFP.html?lang=it,Art. 9
Franklin Sustain Euro Gr Bond Ucits Etf,"23,855","-0,10",16:26:47,"23,815","23,90","23,87",,/borsa/etf/scheda/IE00BHZRR253-ETFP.html?lang=it,Art. 9
Bnp Paribas Easy Jpm Esg Green Social & Sustainability Ig Eur Bond Ucits Etf,,,,,,"8,21",,/borsa/etf/scheda/LU2365458814-ETFP.html?lang=it,Art. 9
Bnp Paribas Easy Jpm Esg Green Social & Sustainability Ig Eur Bond Ucits Etf,,,,,,"8,2088",,/borsa/etf/scheda/LU2365458814-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Low Carbon 100 Europe Pab,"278,75","-0,09",17:35:22,"277,25","278,90","278,75",,/borsa/etf/scheda/LU1377382368-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Low Carbon 300 World Pab Ucits Etf Capitalisation,,,,"17,8009","17,8009","17,8347",,/borsa/etf/scheda/LU2194449075-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Msci Emerging Sri Pab Ucits Etf,,,,,,"119,37",,/borsa/etf/scheda/LU1659681313-ETFP.html?lang=it,Art. 9
Bnp Paribas Easy Msci Emerging Sri Pab Ucits Etf,,,,"118,68","118,68","119,36",,/borsa/etf/scheda/LU1659681313-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Msci Emerging Sri Pab Ucits Etf,"16,3367","+1,01",17:35:22,"16,1645","16,3367","16,3367",,/borsa/etf/scheda/LU1659681230-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Msci Emerging Sri Pab Ucits Etf,,,,"186,69","186,69","188,25",,/borsa/etf/scheda/LU1291098314-XPMC.html?lang=it,Art. 9
Bnp Paribas Easy Msci Emu Sri Pab Ucits Etf,"17,3669","-0,08",17:35:26,"17,2968","17,4104","17,3669",,/borsa/etf/scheda/LU1953137681-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Msci Emu Sri Pab Ucits Etf,,,,,,"17,354",,/borsa/etf/scheda/LU1953137681-ETFP.html?lang=it,Art. 9
Bnp Paribas Easy Msci Europe Small Caps Sri Pab Ucits Etf,,,,,,"320,45",,/borsa/etf/scheda/LU1291101555-ETFP.html?lang=it,Art. 9
Bnp Paribas Easy Msci Europe Small Caps Sri Pab Ucits Etf,"320,47","-0,69",17:35:02,"319,487","321,463","320,47",,/borsa/etf/scheda/LU1291101555-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Msci Europe Sri Pab Ucits Etf,"37,468","-0,48",17:35:12,"37,468","37,507","37,468",,/borsa/etf/scheda/LU1753045332-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Msci Europe Sri Pab Ucits Etf,"30,9056","-0,77",17:35:08,"30,8885","31,0305","30,9056",,/borsa/etf/scheda/LU1753045415-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Msci Europe Sri Pab Ucits Etf,,,,,,"30,90",,/borsa/etf/scheda/LU1753045415-ETFP.html?lang=it,Art. 9
Bnp Paribas Easy Msci Japan Sri Pab Ucits Etf,"26,8038","-1,06",15:38:04,"26,7869","26,9874","26,7993",,/borsa/etf/scheda/LU1753045845-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Msci Japan Sri Pab Ucits Etfbnp Paribas Easy Msci Japan Sri Pab Ucits Etf,"21,7488","-1,00",15:38:10,"21,735","21,8548","21,7487",,/borsa/etf/scheda/LU1753045928-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Msci Japan Sri Pab Ucits Etfbnp Paribas Easy Msci Japan Sri Pab Ucits Etf,"21,72","-1,12",15:47:03,"21,72","21,845","21,75",,/borsa/etf/scheda/LU1753045928-ETFP.html?lang=it,Art. 9
Bnp Paribas Easy Msci Usa Sri Pab Ucits Etf,,,,,,"20,20",,/borsa/etf/scheda/LU1659681669-ETFP.html?lang=it,Art. 9
Bnp Paribas Easy Msci Usa Sri Pab Ucits Etf,"20,1856","-0,10",09:04:29,"20,1856","20,1856","20,1939",,/borsa/etf/scheda/LU1659681669-XPAR.html?lang=it,Art. 9
Ossiam Bloomberg Japan Pab Nr - Ucits Etf 1c (Eur),"165,0189","-1,10",16:26:24,"164,9166","165,9154","165,2892",,/borsa/etf/scheda/LU1655103643-XPAR.html?lang=it,Art. 9
Ossiam Bloomberg Japan Pab Nr - Ucits Etf H1c (Eur Hedged),,,,"238,3544","238,3544","237,6651",,/borsa/etf/scheda/LU1655103726-XPAR.html?lang=it,Art. 9
Ossiam Bloomberg Usa Pab Nr Ucits Etf - 1a (Eur Hedged),,,,"153,8837","153,8837","154,1281",,/borsa/etf/scheda/IE000JCGTOP1-XPAR.html?lang=it,Art. 9
Ossiam Bloomberg Usa Pab Nr Ucits Etf - 1a (Eur),,,,"155,2955","155,2955","155,0937",,/borsa/etf/scheda/IE000IIED424-XPAR.html?lang=it,Art. 9
