ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE000F37PGZ3,4.13,0.88,-0.91,1.55,3.72,-3.65,-0.34,-0.53,1.0095,0.145,0.171,1.131,1.03,4.092,,,,,,31.9
LU1923163759,3.72,0.41,2.04,4.76,0.97,-0.41,-0.03,-0.07,0.102,0.133,0.224,9.09,1.035,36.48,,,,,,41.1
IE000JXFRNI0,3.95,0.84,1.99,4.64,2.89,-4.17,-0.25,-0.4,1.2564,0.123,0.177,0.947,1.023,3.144,,,,,,53.2
LU1407888723,3.98,0.32,0.38,3.84,4.18,-3.88,-0.39,-0.53,1.342,0.094,0.157,1.028,1.017,2.969,,,,,,47.9
IE000UCFZI88,4.05,0.16,-1.22,3.16,5.56,-5.47,-0.55,-0.82,1.6769,0.082,0.101,0.741,1.018,2.416,,,,,,30.5
IE00BKT6VQ12,3.69,0.39,1.1,0.99,2.08,-1.81,-0.2,-0.29,0.5748,0.047,0.068,2.036,1.008,6.42,,,,,,55.9
IE000IF0HTJ9,3.66,2.1,-0.69,1.75,7.19,-8.89,-0.66,-0.89,3.3826,0.009,0.016,0.411,1.002,1.081,,,,,,49.4
IE00BD5HBS12,3.54,1.57,3.66,6.81,10.12,-9.21,-0.84,-1.5,4.0854,-0.006,-0.006,0.384,0.999,0.865,,,,,,34.5
IE00BLB2GQ94,3.55,2.58,3.61,8.1,4.51,-8.88,-0.39,-0.67,3.1992,-0.009,-0.01,0.4,0.998,1.111,,,,,,25.1
IE000NPK2VI6,3.53,0.85,-1.03,1.23,4.11,-3.81,-0.4,-0.57,1.2565,-0.014,-0.017,0.928,0.997,2.813,,,,,,30.1
IE0000UJ3480,3.5,-1.62,0.88,1.61,6.41,-9.74,-0.59,-0.93,4.5988,-0.014,-0.018,0.36,0.998,0.762,,,,,,52.7
IE00BJP26C72,3.57,0.34,1.95,4.38,1.0,-0.95,-0.05,-0.11,0.1402,-0.019,-0.019,3.78,0.996,25.499,,,,,,53.3
LU2533812991,3.3,0.26,-1.65,-0.45,5.95,-3.73,-0.59,-0.8,1.6465,-0.049,-0.073,0.885,0.991,2.004,,,,,,36.0
LU2533812728,3.3,0.32,-1.28,0.12,5.06,-3.75,-0.46,-0.65,1.5215,-0.058,-0.092,0.881,0.99,2.169,,,,,,50.6
LU1923163676,3.5,0.42,2.43,4.61,1.15,-0.44,-0.03,-0.06,0.0993,-0.079,-0.162,7.907,0.975,35.26,,,,,,36.3
IE0006NCFSW9,3.22,0.56,-0.42,1.55,3.85,-3.75,-0.41,-0.51,1.3442,-0.098,-0.156,0.858,0.984,2.392,,,,,,50.9
IE00BJJYYX67,3.44,0.22,1.85,3.75,1.49,-0.97,-0.11,-0.21,0.1192,-0.101,-0.1,3.556,0.977,28.88,,,,,,53.4
IE000P0R7WK6,2.92,-0.31,-1.39,-0.52,6.08,-5.82,-0.59,-0.78,2.9789,-0.111,-0.171,0.502,0.982,0.98,,,,,,51.0
LU2418815473,3.13,1.39,2.04,3.09,4.1,-4.24,-0.25,-0.53,1.4452,-0.113,-0.096,0.738,0.963,2.166,,,,,,18.7
IE00BC7GZX26,3.32,0.45,1.57,4.38,2.16,-4.47,-0.17,-0.25,1.4527,-0.126,-0.215,0.744,0.974,2.286,,,,,,52.1
IE000A9QV382,2.76,0.59,0.01,1.17,6.28,-6.64,-0.6,-0.88,2.5717,-0.132,-0.177,0.416,0.974,1.074,,,,,,32.4
IE000NBRE3P7,3.33,0.2,1.04,2.3,1.71,-1.34,-0.08,-0.2,0.309,-0.151,-0.141,2.483,0.96,10.791,,,,,,54.1
IE00BDFC6Q91,3.47,0.46,1.78,4.48,0.75,-0.86,-0.04,-0.09,0.2277,-0.16,-0.19,4.03,0.969,15.251,,,,,,62.9
IE00BG8BCY43,3.49,0.48,1.88,4.55,0.62,-0.86,-0.04,-0.07,0.225,-0.169,-0.245,4.047,0.971,15.5,,,,,,63.7
IE000SIZJ2B2,3.37,0.25,0.95,2.18,1.26,-0.83,-0.11,-0.17,0.1947,-0.177,-0.27,4.079,0.969,17.306,,,,,,55.3
IE000SE6KPV2,2.79,0.97,-0.93,1.69,4.42,-9.03,-0.42,-0.6,3.2304,-0.181,-0.268,0.309,0.969,0.865,,,,,,53.0
LU1109939865,2.74,1.2,0.9,3.74,4.45,-8.53,-0.41,-0.65,2.5066,-0.192,-0.265,0.321,0.965,1.092,,,,,,52.7
IE000HQY8R78,2.56,0.27,-0.23,3.2,4.47,-7.98,-0.42,-0.63,2.5364,-0.231,-0.301,0.32,0.953,1.009,,,,,,31.4
LU1910940268,2.58,0.77,0.64,2.5,3.85,-3.76,-0.37,-0.52,1.2369,-0.263,-0.399,0.687,0.956,2.085,,,,,,51.9
LU1645380368,2.31,1.04,1.92,3.29,4.51,-9.65,-0.41,-0.65,3.8043,-0.284,-0.395,0.24,0.948,0.608,,,,,,52.0
IE000STIHQB2,3.22,0.36,0.67,1.69,1.27,-0.61,-0.09,-0.18,0.1127,-0.292,-0.34,5.26,0.943,28.599,,,,,,52.6
IE000W6ZFH20,2.99,0.39,-0.04,1.33,1.94,-1.38,-0.17,-0.28,0.3772,-0.31,-0.353,2.166,0.936,7.932,,,,,,32.8
IE00BF11F458,2.38,0.5,1.14,2.76,3.57,-2.89,-0.05,-0.37,1.1053,-0.341,-0.177,0.822,0.846,2.151,,,,,,19.4
IE00B6X2VY59,2.58,1.14,1.1,3.79,2.93,-7.18,-0.27,-0.45,2.3465,-0.345,-0.433,0.359,0.937,1.1,,,,,,53.1
IE000L2TO2T2,1.99,0.72,-0.89,1.62,4.58,-9.07,-0.44,-0.64,3.307,-0.351,-0.518,0.219,0.94,0.601,,,,,,50.8
IE000MUAJIF4,2.62,0.69,-0.49,0.81,2.76,-2.6,-0.26,-0.36,0.7504,-0.353,-0.541,1.009,0.943,3.493,,,,,,51.0
LU2533811910,3.08,0.41,0.97,2.19,1.32,-0.58,-0.14,-0.2,0.1282,-0.384,-0.417,5.281,0.925,24.052,,,,,,67.6
IE00BP9F2H18,2.37,1.14,0.63,4.24,3.09,-9.42,-0.28,-0.41,3.5534,-0.397,-0.608,0.251,0.933,0.666,,,,,,49.5
IE000G4ONBO6,1.96,0.12,-1.8,-0.59,4.08,-3.55,-0.32,-0.64,1.0962,-0.401,-0.377,0.552,0.892,1.785,,,,,,17.6
IE00B67B7N93,3.26,0.47,2.16,4.65,0.74,-2.46,-0.05,-0.1,0.811,-0.452,-0.54,1.324,0.92,4.016,,,,,,61.7
LU1233598447,3.4,0.36,1.89,3.99,0.42,-0.13,-0.02,-0.04,0.0151,-0.458,-0.723,26.201,0.924,225.16,,,,,,63.1
LU1981860072,1.43,0.6,-0.96,0.91,4.42,-8.26,-0.42,-0.72,3.3401,-0.488,-0.492,0.173,0.892,0.429,,,,,,26.1
IE00BGYWSV06,2.57,0.41,1.31,4.41,2.1,-6.43,-0.19,-0.29,2.2758,-0.49,-0.689,0.399,0.917,1.128,,,,,,51.6
LU2533810789,2.79,0.41,-0.06,0.61,1.62,-1.32,-0.14,-0.21,0.3313,-0.497,-0.767,2.12,0.914,8.416,,,,,,50.3
IE00BDD48R20,2.57,0.41,1.36,4.37,2.01,-6.39,-0.18,-0.27,2.2702,-0.512,-0.772,0.402,0.912,1.13,,,,,,52.9
