ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE00BF59RX87,0.11,1.01,-0.87,1.77,4.82,-17.11,-0.41,-0.74,8.4849,-0.721,-0.754,0.007,0.854,0.014,,,,,,41.1
IE000F6XDNZ5,-2.57,-0.03,-0.37,1.45,8.52,-20.62,-0.73,-1.4,15.2736,-0.723,-0.509,-0.125,0.812,-0.168,,,,,,22.7
LU1407890976,-6.48,-0.8,-4.47,-1.44,13.79,-43.43,-1.54,-1.91,31.3143,-0.731,-1.123,-0.149,0.887,-0.207,,,,,,49.3
LU0962078753,-2.01,0.53,-0.35,2.02,7.66,-24.58,-0.73,-1.1,17.4054,-0.732,-1.035,-0.082,0.876,-0.115,,,,,,48.2
LU1459800113,-6.52,-0.59,-4.37,-1.58,13.72,-43.6,-1.49,-1.98,31.4781,-0.737,-1.059,-0.149,0.88,-0.207,,,,,,44.1
IE00B4WXJH41,-3.18,0.32,-2.27,-0.34,9.17,-29.06,-0.95,-1.24,19.5864,-0.739,-1.172,-0.11,0.882,-0.163,,,,,,47.2
IE00BFWFPY67,-1.51,2.18,1.04,6.18,6.9,-18.19,-0.69,-1.17,11.467,-0.739,-0.768,-0.083,0.853,-0.132,,,,,,34.3
IE00BKP5L409,-1.66,-0.07,-0.63,3.85,6.99,-21.71,-0.7,-1.02,12.5018,-0.751,-1.064,-0.076,0.873,-0.132,,,,,,45.9
LU0524480265,-1.26,0.38,-1.37,-0.12,6.45,-20.11,-0.65,-0.88,12.3955,-0.751,-1.192,-0.063,0.879,-0.101,,,,,,48.9
IE000AK4O3W6,2.4,0.43,0.2,1.75,1.59,-3.12,-0.14,-0.22,0.9673,-0.753,-1.043,0.769,0.872,2.48,,,,,,55.3
LU1650489385,-3.42,0.23,-2.32,-1.24,9.3,-29.4,-0.93,-1.25,19.8722,-0.754,-1.21,-0.116,0.879,-0.172,,,,,,46.7
IE00BYZTVT56,-0.01,0.9,-0.87,1.59,4.77,-17.06,-0.49,-0.69,8.5005,-0.755,-1.089,-0.001,0.873,-0.001,,,,,,49.6
LU2533810862,2.26,0.2,-0.15,0.41,1.74,-1.35,-0.16,-0.22,0.3776,-0.764,-1.235,1.676,0.871,5.994,,,,,,48.8
LU0290357507,-6.69,-0.09,-3.57,-3.38,13.46,-41.93,-1.34,-1.78,30.265,-0.764,-1.238,-0.16,0.879,-0.221,,,,,,47.6
IE00B1FZS913,-6.76,-0.1,-3.6,-3.47,13.5,-42.12,-1.39,-1.82,30.4824,-0.767,-1.236,-0.161,0.88,-0.222,,,,,,48.5
IE00BH04GL39,-2.18,0.03,-2.64,1.38,7.51,-20.71,-0.74,-1.03,14.2328,-0.768,-1.216,-0.105,0.88,-0.153,,,,,,48.3
LU2008761053,0.39,0.92,-0.71,1.61,4.16,-14.15,-0.38,-0.6,6.9624,-0.77,-0.902,0.028,0.85,0.056,,,,,,46.1
IE00BYSZ6062,-5.9,0.04,-2.87,-3.29,12.3,-39.23,-1.27,-1.62,28.1317,-0.772,-1.258,-0.151,0.878,-0.21,,,,,,47.6
LU1681041031,2.23,0.73,1.03,2.95,1.77,-2.73,-0.16,-0.26,0.8775,-0.774,-0.949,0.817,0.859,2.538,,,,,,50.4
IE00BSKRK281,0.49,0.96,-0.42,2.17,3.99,-16.85,-0.38,-0.6,7.8671,-0.778,-1.078,0.029,0.87,0.062,,,,,,52.2
LU2338178481,-2.21,-0.22,-0.22,2.41,7.45,-22.02,-0.78,-1.08,14.0178,-0.779,-1.071,-0.1,0.856,-0.158,,,,,,31.7
LU1563454401,-1.61,1.04,-0.92,0.28,6.66,-19.9,-0.56,-1.08,13.1243,-0.781,-0.644,-0.081,0.796,-0.123,,,,,,19.6
IE00B43QJJ40,-1.48,1.23,-0.54,2.24,6.48,-24.25,-0.66,-0.87,14.1013,-0.783,-1.239,-0.061,0.874,-0.105,,,,,,48.7
IE00BK7Y2P34,-0.52,-0.08,-1.11,1.64,5.23,-15.79,-0.51,-0.68,9.103,-0.786,-1.288,-0.033,0.876,-0.057,,,,,,48.2
IE00B1FZS806,-2.22,0.19,-1.73,-0.32,7.38,-22.9,-0.73,-1.01,15.1287,-0.788,-1.232,-0.097,0.873,-0.147,,,,,,48.7
LU1287023185,-2.05,0.16,-1.79,-0.24,7.15,-22.24,-0.72,-0.98,14.4681,-0.789,-1.24,-0.092,0.873,-0.142,,,,,,49.6
LU1437024729,-0.9,-0.91,-0.89,-0.56,5.68,-14.88,-0.56,-0.8,9.2633,-0.791,-1.162,-0.061,0.871,-0.098,,,,,,49.2
IE000U6US1Q0,-1.78,1.31,-0.47,2.73,6.77,-24.22,-0.71,-0.97,14.4086,-0.794,-1.114,-0.074,0.861,-0.124,,,,,,39.1
LU1859444769,-0.37,0.85,-1.15,1.61,4.98,-19.09,-0.51,-0.7,10.0969,-0.795,-1.177,-0.019,0.87,-0.037,,,,,,49.0
LU1974693662,-2.48,-0.04,-2.31,-2.9,7.64,-17.01,-0.55,-0.95,12.468,-0.795,-0.751,-0.146,0.834,-0.199,,,,,,45.1
IE00B3VTN290,-2.25,0.21,-1.68,-0.33,7.35,-22.93,-0.72,-0.99,15.1666,-0.796,-1.274,-0.098,0.872,-0.149,,,,,,48.9
LU2338178648,-7.47,-1.27,-3.1,1.4,13.89,-41.32,-1.49,-2.08,29.877,-0.796,-0.957,-0.181,0.853,-0.25,,,,,,33.8
IE00BNDS1Q47,-0.78,0.64,-1.41,1.89,5.48,-21.13,-0.57,-0.8,11.6556,-0.797,-1.171,-0.037,0.874,-0.067,,,,,,50.2
IE00B3T9LM79,-0.01,1.03,-0.67,1.74,4.51,-17.57,-0.43,-0.65,8.8803,-0.798,-1.129,-0.001,0.866,-0.001,,,,,,50.8
IE00BM97MR69,3.23,0.26,1.79,3.91,0.46,-0.43,-0.03,-0.05,0.0879,-0.799,-1.094,7.523,0.867,36.722,,,,,,62.3
LU0478205379,0.03,0.8,-0.81,1.8,4.46,-17.22,-0.44,-0.64,8.595,-0.799,-1.16,0.002,0.868,0.003,,,,,,51.0
IE00BLRPPV00,3.23,0.28,1.83,3.87,0.45,-0.37,-0.03,-0.04,0.0675,-0.801,-1.287,8.802,0.869,47.866,,,,,,65.2
IE00BGYWT403,0.01,0.75,-0.95,1.52,4.45,-17.21,-0.46,-0.64,8.5437,-0.807,-1.184,0.0,0.867,0.001,,,,,,50.0
LU1681046774,-1.77,0.18,-1.41,0.05,6.65,-21.47,-0.65,-0.92,13.8053,-0.807,-1.186,-0.083,0.868,-0.129,,,,,,46.1
IE00BF11F565,0.0,0.78,-0.91,1.81,4.44,-17.29,-0.42,-0.66,8.6584,-0.809,-1.137,0.0,0.865,0.0,,,,,,50.8
IE00B3F81R35,0.0,0.76,-0.87,1.77,4.44,-17.22,-0.44,-0.65,8.6263,-0.809,-1.165,0.0,0.865,0.0,,,,,,50.9
IE00BZ163G84,0.02,0.83,-0.8,1.68,4.39,-17.16,-0.43,-0.64,8.5617,-0.813,-1.185,0.001,0.864,0.003,,,,,,50.0
LU2089238625,-0.1,0.88,-0.88,1.77,4.52,-17.86,-0.44,-0.65,9.0664,-0.815,-1.187,-0.005,0.868,-0.01,,,,,,50.8
IE00B14X4S71,1.87,0.23,1.13,3.55,2.1,-5.66,-0.19,-0.28,2.2325,-0.818,-1.221,0.33,0.857,0.838,,,,,,47.5
IE000YSUEJ32,-2.89,-1.35,-7.16,-12.27,7.89,-16.57,-0.89,-1.16,7.2205,-0.822,-1.223,-0.174,0.873,-0.4,,,,,,49.0
LU0484968812,-0.08,0.73,-0.99,1.52,4.42,-16.97,-0.44,-0.65,8.6138,-0.831,-1.198,-0.005,0.863,-0.009,,,,,,51.2
LU1563454310,-1.71,-0.06,-1.45,0.15,6.38,-20.33,-0.64,-0.88,13.3598,-0.831,-1.3,-0.084,0.867,-0.128,,,,,,48.0
LU1805389258,0.99,0.93,-0.94,1.8,3.11,-10.4,-0.29,-0.46,4.5502,-0.837,-1.105,0.095,0.853,0.218,,,,,,44.0
IE00BF51K249,-0.05,0.79,-0.93,1.63,4.35,-17.18,-0.42,-0.64,8.723,-0.837,-1.186,-0.003,0.862,-0.006,,,,,,50.5
IE0032523478,-0.32,0.82,-0.87,1.58,4.63,-17.9,-0.45,-0.65,9.3783,-0.845,-1.266,-0.018,0.862,-0.034,,,,,,50.4
IE00BF2FNG46,1.84,0.24,1.1,3.13,2.07,-5.66,-0.18,-0.28,2.237,-0.848,-1.278,0.324,0.855,0.821,,,,,,49.1
LU1829218822,-0.6,1.21,-1.0,1.01,4.93,-17.41,-0.5,-0.76,9.6496,-0.85,-1.012,-0.034,0.839,-0.062,,,,,,38.3
IE00BN4GXL63,-0.09,0.82,-1.07,1.45,4.27,-16.03,-0.41,-0.62,8.1326,-0.864,-1.257,-0.006,0.858,-0.012,,,,,,50.4
LU1048314196,0.97,0.69,-0.33,1.78,3.01,-10.89,-0.29,-0.45,4.8528,-0.873,-1.125,0.089,0.848,0.199,,,,,,50.0
IE0005TF96I9,-9.08,-2.37,-11.41,-5.06,14.49,-34.31,-1.39,-2.51,19.4995,-0.875,-0.816,-0.265,0.813,-0.466,,,,,,27.5
LU0290357176,-1.1,0.17,-1.37,-0.06,5.36,-17.24,-0.53,-0.72,10.2995,-0.876,-1.375,-0.064,0.858,-0.107,,,,,,49.5
IE00BP9F2J32,1.11,0.72,-0.68,1.51,2.83,-11.07,-0.28,-0.41,4.7323,-0.878,-1.222,0.1,0.854,0.235,,,,,,50.3
IE000MCVFK47,-0.92,0.63,-0.6,1.45,5.09,-20.19,-0.52,-0.75,11.6985,-0.887,-1.282,-0.046,0.853,-0.079,,,,,,50.3
IE00B4WXJG34,-1.12,0.23,-1.24,-0.1,5.31,-17.35,-0.54,-0.72,10.3639,-0.888,-1.385,-0.065,0.855,-0.109,,,,,,47.8
LU2356220926,-6.13,-0.03,-2.47,-2.04,10.93,-36.36,-1.14,-1.5,27.0485,-0.89,-1.4,-0.169,0.858,-0.227,,,,,,47.4
NL0009690254,-1.98,0.19,-1.36,-0.16,6.23,-21.02,-0.62,-0.87,13.7888,-0.894,-1.387,-0.094,0.855,-0.144,,,,,,48.5
LU2182388236,-1.76,0.28,-1.27,0.12,5.97,-19.82,-0.58,-0.85,12.9309,-0.897,-1.351,-0.089,0.853,-0.136,,,,,,48.6
