ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU1681037864,17.58,5.21,14.61,41.3,18.03,-20.66,-1.71,-2.62,5.6387,0.776,1.042,0.851,1.145,3.118,,,,,,55.1
IE000AXIKJM8,15.8,11.65,1.01,22.44,15.91,-24.92,-1.48,-2.43,6.7234,0.767,0.951,0.634,1.151,2.35,,,,,,56.1
IE000H92C4B8,6.19,2.16,0.43,4.23,3.39,-3.66,-0.3,-0.45,0.6248,0.766,1.082,1.691,1.153,9.91,,,,,,58.2
IE00B435CG94,23.64,-6.62,34.46,47.18,26.93,-28.55,-2.7,-4.1,9.1208,0.744,0.975,0.828,1.137,2.592,,,,,,55.7
IE00BM8R0J59,15.8,6.5,6.53,17.84,16.49,-21.55,-1.3,-2.35,4.5348,0.74,0.892,0.733,1.18,3.483,,,,,,56.5
IE000QDFFK00,18.13,-5.67,-6.22,27.83,19.87,-22.35,-1.82,-2.9,4.7672,0.732,0.872,0.811,1.144,3.803,,,,,,57.3
IE00BKT6RT64,5.43,0.74,2.3,3.49,2.52,-1.84,-0.22,-0.33,0.4585,0.729,1.13,2.957,1.129,11.848,,,,,,55.1
IE000O58J820,15.46,13.1,2.35,29.3,16.46,-20.06,-1.55,-2.35,5.7463,0.721,1.008,0.77,1.135,2.69,,,,,,55.3
IE00BQN1K901,14.55,5.55,14.29,31.35,15.31,-19.55,-1.46,-2.39,5.2736,0.716,0.91,0.744,1.134,2.76,,,,,,56.1
IE00BH4GPZ28,14.49,10.31,5.55,27.92,15.61,-24.04,-1.54,-2.42,6.5321,0.698,0.901,0.603,1.132,2.219,,,,,,55.2
IE00BGQYRS42,20.19,22.19,0.46,43.98,23.86,-34.68,-2.42,-3.34,13.1355,0.696,0.996,0.582,1.125,1.537,,,,,,56.9
LU0533033667,18.83,18.42,2.7,44.06,22.38,-29.46,-2.35,-3.26,11.4056,0.681,0.947,0.639,1.123,1.651,,,,,,55.2
IE000VXC51U5,13.24,10.21,4.22,24.76,14.48,-18.29,-1.42,-2.12,4.7318,0.666,0.898,0.724,1.123,2.797,,,,,,55.7
LU0496786574,13.71,9.18,4.06,23.23,15.26,-23.37,-1.56,-2.34,6.447,0.663,0.853,0.587,1.125,2.126,,,,,,55.2
LU1681041973,11.81,-0.69,9.31,14.98,12.44,-15.51,-1.19,-1.87,3.8222,0.66,0.856,0.761,1.121,3.089,,,,,,55.7
IE00BWBXM948,18.91,21.74,1.07,52.26,23.21,-33.61,-2.37,-3.25,12.3663,0.66,0.947,0.563,1.118,1.529,,,,,,56.0
LU1681048804,13.57,9.18,3.49,24.01,15.25,-23.26,-1.56,-2.36,6.4467,0.654,0.836,0.583,1.123,2.104,,,,,,55.3
IE00BYXZ2585,17.59,6.87,5.16,20.06,21.44,-21.13,-1.84,-3.28,4.237,0.653,0.705,0.833,1.144,4.151,,,,,,56.4
IE0002L5QB31,10.4,5.58,5.45,17.13,10.51,-17.2,-0.86,-1.57,3.3449,0.647,0.709,0.605,1.15,3.109,,,,,,57.2
IE00BM67HT60,18.77,20.97,0.57,42.24,23.5,-35.99,-2.38,-3.27,13.5608,0.646,0.933,0.522,1.115,1.384,,,,,,56.1
IE00BYTRRD19,18.76,21.02,0.61,48.84,23.5,-35.96,-2.37,-3.29,13.5511,0.646,0.929,0.522,1.116,1.385,,,,,,56.2
LU1681038243,16.32,14.55,3.89,33.13,19.82,-31.28,-2.04,-2.89,11.5898,0.642,0.889,0.522,1.117,1.408,,,,,,55.5
LU1829221024,16.35,14.68,4.03,33.25,19.88,-31.16,-2.06,-2.9,11.6023,0.641,0.889,0.525,1.117,1.409,,,,,,55.5
