ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE0004D7VJE6,2.71,0.02,,,5.86,-3.7,-0.6,-0.73,1.7561,-0.151,-0.237,0.731,0.976,1.542,,,,,,55.3
LU2872291948,2.82,1.96,,,5.03,-3.69,-0.47,-0.63,1.0925,-0.154,-0.245,0.765,0.974,2.58,,,,,,51.2
IE000J4FE268,2.7,0.02,,,5.73,-3.44,-0.6,-0.78,1.6011,-0.156,-0.222,0.784,0.975,1.685,,,,,,56.1
IE000BWITBP9,2.64,-0.77,1.23,,5.86,-3.19,-0.68,-0.82,1.4294,-0.163,-0.24,0.826,0.973,1.844,,,,,,55.2
IE0000JVOLK2,2.6,0.65,,,5.55,-2.96,-0.61,-0.75,1.0462,-0.179,-0.251,0.879,0.968,2.483,,,,,,38.2
LU2976314620,1.39,1.64,,,10.75,-6.8,-0.94,-1.38,2.8011,-0.205,-0.307,0.205,0.966,0.496,,,,,,49.6
IE000CWS09Q9,3.14,0.8,1.56,,2.23,-1.38,-0.2,-0.28,0.488,-0.205,-0.344,2.279,0.966,6.426,,,,,,48.0
LU3138597383,0.98,-0.01,,,12.48,-3.12,-1.23,-1.49,1.4448,-0.21,-0.375,0.313,0.965,0.676,,,,,,46.9
IE000O2QIHN4,2.45,0.47,,,5.32,-3.17,-0.63,-0.77,1.2929,-0.215,-0.302,0.773,0.965,1.894,,,,,,53.7
IE000YZIVX22,2.26,2.16,,,6.18,-4.56,-0.57,-0.7,1.5477,-0.216,-0.392,0.495,0.963,1.458,,,,,,50.0
IE00BKVL7778,1.57,0.98,0.61,,8.25,-6.03,-0.87,-1.14,2.2317,-0.245,-0.336,0.26,0.957,0.703,,,,,,43.2
IE00BM9GRM34,2.05,1.15,,,6.07,-3.53,-0.56,-0.79,1.3636,-0.255,-0.407,0.579,0.956,1.5,,,,,,43.5
IE0006OIQXE9,1.89,2.01,,,6.54,-5.15,-0.6,-0.9,1.992,-0.261,-0.365,0.366,0.95,0.948,,,,,,43.5
IE000XG0ZRI7,2.34,1.3,,,4.68,-3.1,-0.45,-0.57,0.9673,-0.269,-0.439,0.754,0.95,2.415,,,,,,48.0
IE000N3TZN02,2.09,-0.54,,,5.44,-3.07,-0.59,-0.73,1.3161,-0.276,-0.431,0.681,0.956,1.59,,,,,,56.9
LU3119430570,1.12,0.52,,,8.95,-5.43,-1.02,-1.18,2.3496,-0.276,-0.412,0.207,0.954,0.478,,,,,,53.5
IE00B6X2VY59,2.69,0.68,1.32,,3.2,-1.02,-0.31,-0.48,0.3148,-0.283,-0.367,2.628,0.946,8.538,,,,,,50.4
IE0007G78AC4,2.23,0.82,1.06,,4.69,-2.3,-0.44,-0.56,0.8179,-0.291,-0.501,0.967,0.955,2.723,,,,,,48.8
LU1547515137,1.86,2.29,,,5.44,-4.4,-0.59,-0.75,1.4409,-0.319,-0.451,0.422,0.94,1.289,,,,,,39.8
IE0006GNB732,1.75,1.66,,,5.73,-3.94,-0.52,-0.72,1.3307,-0.321,-0.506,0.445,0.939,1.316,,,,,,48.8
LU1525418726,2.47,1.14,1.2,,3.29,-2.62,-0.36,-0.45,0.9931,-0.342,-0.513,0.94,0.938,2.485,,,,,,43.2
IE00BLRPRF81,1.34,1.0,,,6.4,-4.59,-0.83,-1.11,2.3166,-0.352,-0.335,0.292,0.925,0.58,,,,,,26.7
IE00018U4PN8,1.63,0.28,,,5.36,-3.03,-0.53,-0.7,1.2842,-0.365,-0.556,0.539,0.943,1.272,,,,,,55.3
IE000C5Q64P6,2.67,0.68,,,2.54,-1.48,-0.27,-0.34,0.4716,-0.365,-0.554,1.805,0.94,5.655,,,,,,47.6
IE00066L6LB9,1.64,0.29,,,5.33,-3.03,-0.54,-0.7,1.2918,-0.366,-0.548,0.542,0.944,1.272,,,,,,55.3
IE000EJ2EHO7,0.65,2.56,,,8.04,-6.24,-0.9,-1.19,2.4759,-0.366,-0.487,0.103,0.936,0.261,,,,,,43.5
IE0005FKEK99,1.23,1.56,,,6.41,-5.36,-0.65,-0.86,1.8343,-0.368,-0.582,0.23,0.938,0.673,,,,,,46.8
IE00B99FL386,1.86,1.55,,,4.64,-2.61,-0.49,-0.61,0.9845,-0.374,-0.59,0.713,0.939,1.888,,,,,,52.4
IE0000UJ3480,1.48,-0.51,0.66,,5.5,-3.27,-0.59,-0.76,1.3986,-0.385,-0.571,0.451,0.939,1.055,,,,,,53.6
IE000O2G7VL0,1.7,1.1,,,4.92,-3.4,-0.52,-0.63,1.1524,-0.385,-0.581,0.5,0.932,1.475,,,,,,49.6
IE000H92C4B8,2.07,1.31,,,3.92,-3.01,-0.34,-0.51,0.8909,-0.388,-0.577,0.687,0.925,2.324,,,,,,55.3
IE000P0AMD16,1.47,-0.57,,,5.44,-3.3,-0.6,-0.72,1.4884,-0.39,-0.586,0.445,0.938,0.987,,,,,,53.7
LU2099296274,1.16,0.94,,,6.15,-3.13,-0.62,-0.75,1.0375,-0.395,-0.695,0.372,0.936,1.122,,,,,,46.3
IE00BF8J5974,2.76,0.63,1.37,,2.02,-1.07,-0.18,-0.22,0.3379,-0.414,-0.845,2.583,0.938,8.156,,,,,,52.8
LU1435356495,1.62,1.41,,,4.54,-2.61,-0.45,-0.61,0.9044,-0.434,-0.659,0.62,0.929,1.791,,,,,,48.8
IE000A0RC215,2.84,0.72,,,1.71,-0.87,-0.16,-0.21,0.2846,-0.438,-0.711,3.251,0.929,9.987,,,,,,54.0
IE00BKLC5874,1.77,1.04,0.84,,4.11,-3.04,-0.36,-0.48,0.9543,-0.444,-0.763,0.583,0.916,1.857,,,,,,52.8
