ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE00BMDPBY65,6.82,4.31,0.83,4.38,15.03,-20.91,-1.48,-2.15,6.6125,0.214,0.297,0.326,1.038,1.031,,,,,,53.7
IE00BZCQB185,7.26,9.35,-11.93,-8.81,17.15,-25.48,-1.64,-2.4,10.8301,0.214,0.302,0.285,1.038,0.67,,,,,,52.7
LU1437025023,7.1,4.81,1.62,11.36,16.37,-26.08,-1.62,-2.37,8.9432,0.214,0.297,0.272,1.038,0.794,,,,,,52.0
LU1291106356,6.85,1.97,4.84,14.96,15.29,-19.95,-1.52,-2.21,5.9959,0.213,0.297,0.343,1.036,1.142,,,,,,51.6
LU1900068328,7.11,11.56,12.24,35.85,16.5,-24.43,-1.58,-2.38,10.9413,0.213,0.304,0.291,1.037,0.65,,,,,,52.2
IE00BKVL7331,6.25,2.68,0.58,1.79,12.48,-17.96,-1.19,-1.85,5.9932,0.213,0.278,0.348,1.04,1.043,,,,,,46.9
IE00BWTN6Y99,6.57,-0.03,5.73,7.97,14.05,-20.04,-1.47,-2.06,8.1582,0.212,0.295,0.328,1.037,0.806,,,,,,52.9
IE00BKY59G90,7.42,11.31,8.66,38.91,18.03,-33.74,-1.8,-2.47,16.3574,0.212,0.323,0.22,1.036,0.454,,,,,,50.6
IE00B0M63177,7.6,14.54,16.76,49.66,18.96,-37.54,-1.83,-2.63,18.481,0.212,0.318,0.203,1.037,0.411,,,,,,49.3
IE00B4L5YC18,7.49,14.13,13.46,47.43,18.48,-37.08,-1.85,-2.51,18.2442,0.211,0.32,0.202,1.036,0.411,,,,,,50.0
LU1390062245,4.37,0.74,3.55,4.17,3.68,-4.32,-0.33,-0.53,1.1396,0.211,0.291,1.012,1.038,3.833,,,,,,51.0
IE00BKWQ0H23,6.86,-3.28,0.75,2.49,15.54,-26.53,-1.6,-2.25,9.4749,0.21,0.292,0.258,1.036,0.724,,,,,,52.5
LU2673523564,4.67,1.09,-1.53,1.7,5.11,-3.67,-0.5,-0.69,1.4798,0.21,0.313,1.271,1.036,3.154,,,,,,53.3
LU1681045453,7.48,14.65,15.01,48.56,18.51,-37.05,-1.89,-2.52,18.2978,0.21,0.322,0.202,1.036,0.409,,,,,,50.2
LU1681043086,6.95,6.76,-11.91,-13.68,16.05,-29.39,-1.57,-2.33,10.6766,0.209,0.283,0.236,1.037,0.651,,,,,,53.6
IE00B469F816,7.45,13.67,13.42,48.62,18.49,-37.27,-1.93,-2.53,18.4111,0.209,0.317,0.2,1.036,0.405,,,,,,50.7
IE0002PG6CA6,15.02,14.79,45.07,170.49,54.91,-73.21,-4.29,-7.74,46.9861,0.208,0.29,0.205,1.041,0.32,,,,,,49.2
LU0328474803,14.89,3.26,1.97,17.86,54.21,-53.6,-1.66,-3.22,18.748,0.208,0.327,0.278,1.107,0.794,,,,,,51.7
IE00B8FHGS14,5.82,-0.01,1.02,1.33,10.69,-18.52,-1.06,-1.58,6.1035,0.208,0.283,0.314,1.037,0.954,,,,,,53.7
IE00BTJRMP35,7.44,14.29,13.47,47.42,18.57,-37.76,-1.85,-2.52,18.6197,0.207,0.316,0.197,1.036,0.4,,,,,,49.8
IE000RLUE8E9,7.48,13.34,-4.71,19.14,18.74,-30.53,-1.92,-2.74,12.9005,0.207,0.29,0.245,1.036,0.58,,,,,,51.7
LU0292107991,7.36,16.7,14.32,53.34,18.23,-42.05,-1.9,-2.7,19.4935,0.206,0.268,0.175,1.041,0.377,,,,,,38.4
FR0011869312,7.1,10.93,11.44,32.91,17.15,-24.51,-1.76,-2.5,10.9856,0.205,0.295,0.29,1.035,0.646,,,,,,51.8
FR0011869320,6.92,7.39,-12.23,-12.84,16.18,-29.63,-1.61,-2.33,10.871,0.205,0.283,0.233,1.036,0.636,,,,,,52.2
IE00BKW9SX35,6.11,1.23,5.42,3.6,12.27,-17.23,-1.24,-1.83,6.4036,0.205,0.276,0.354,1.036,0.954,,,,,,51.6
IE00B3VWM098,7.69,7.16,10.75,32.54,19.94,-31.79,-1.92,-2.96,10.919,0.205,0.279,0.242,1.036,0.704,,,,,,52.6
LU1900068161,7.17,12.75,12.46,38.17,17.39,-27.93,-1.7,-2.5,12.986,0.205,0.296,0.257,1.036,0.552,,,,,,49.7
FR0011882364,6.78,2.36,2.01,4.78,15.65,-24.74,-1.6,-2.25,9.5219,0.204,0.297,0.274,1.035,0.712,,,,,,51.5
IE00B5L8K969,7.75,17.44,17.7,55.63,20.48,-41.37,-1.87,-2.81,19.9953,0.203,0.309,0.187,1.036,0.387,,,,,,48.3
IE000QUOSE01,7.31,4.77,2.02,14.38,18.3,-25.34,-1.35,-2.4,9.066,0.203,0.218,0.289,1.047,0.807,,,,,,53.8
IE00BD4TY451,13.69,3.98,6.81,16.6,50.01,-51.49,-1.82,-3.54,17.6624,0.202,0.289,0.266,1.091,0.775,,,,,,50.3
IE00BYPLS672,8.66,10.0,-1.96,12.91,25.06,-39.35,-2.55,-3.62,18.8347,0.202,0.292,0.22,1.035,0.46,,,,,,51.4
IE00BMDKNW35,18.18,20.41,-33.74,67.22,72.12,-91.23,-6.94,-9.22,62.4697,0.202,0.339,0.199,1.034,0.291,,,,,,50.4
IE00B3CNHJ55,7.83,11.58,9.97,34.91,21.08,-29.71,-2.08,-2.93,14.2358,0.201,0.305,0.263,1.034,0.55,,,,,,51.5
IE00BWBXM831,7.37,2.8,15.13,23.45,18.82,-25.19,-1.96,-2.82,9.2047,0.201,0.286,0.293,1.035,0.801,,,,,,51.5
LU2446383338,4.27,0.85,-0.65,1.43,3.38,-3.09,-0.31,-0.46,0.8763,0.2,0.249,1.381,1.042,4.873,,,,,,32.4
FR0010361683,6.8,6.68,-12.15,-13.65,16.04,-29.6,-1.6,-2.34,10.8103,0.2,0.27,0.23,1.035,0.629,,,,,,53.3
IE00BKWQ0L68,7.18,4.65,14.54,20.97,17.9,-22.78,-1.84,-2.59,8.3655,0.2,0.287,0.315,1.034,0.858,,,,,,51.1
IE00BF4G6Z54,7.35,15.29,16.46,52.77,18.8,-38.9,-1.85,-2.6,19.58,0.2,0.302,0.189,1.035,0.375,,,,,,49.9
IE00B3DWVS88,7.27,14.62,13.95,47.39,18.52,-37.38,-1.86,-2.51,18.6186,0.198,0.303,0.194,1.034,0.39,,,,,,50.8
IE00B3XM3R14,7.3,2.65,15.09,23.03,18.86,-25.27,-1.97,-2.81,9.2996,0.197,0.279,0.289,1.034,0.785,,,,,,51.4
LU0292107645,7.53,14.57,13.81,47.42,20.16,-37.36,-1.87,-2.76,19.3704,0.195,0.265,0.201,1.037,0.389,,,,,,48.8
IE00BQN1KC32,6.99,3.85,3.48,19.15,17.46,-26.4,-1.49,-2.4,9.9604,0.195,0.253,0.265,1.039,0.702,,,,,,52.9
IE00BCRY6003,4.66,1.62,1.68,7.19,5.44,-8.41,-0.48,-0.77,2.1204,0.195,0.266,0.554,1.036,2.196,,,,,,52.0
IE00B6YX5B26,6.82,6.56,3.08,23.32,16.72,-30.12,-1.68,-2.28,10.6068,0.193,0.3,0.226,1.032,0.643,,,,,,49.0
IE00B1TXK627,6.79,2.58,0.38,11.69,16.66,-32.43,-1.69,-2.34,12.9315,0.192,0.284,0.209,1.033,0.525,,,,,,51.0
IE00BKPSPT20,6.01,3.18,-2.0,3.55,12.6,-22.68,-1.22,-1.88,8.0309,0.192,0.257,0.265,1.034,0.748,,,,,,53.0
IE00B5SSQT16,7.1,13.58,13.17,46.75,18.41,-37.26,-1.85,-2.52,18.6127,0.19,0.289,0.19,1.033,0.381,,,,,,50.4
IE00BKLF1R75,9.2,18.55,19.46,100.98,29.88,-52.64,-2.23,-3.4,29.7972,0.188,0.27,0.175,1.041,0.309,,,,,,49.5
IE00BDF16114,7.11,5.82,4.13,17.97,18.8,-23.38,-1.56,-2.54,9.3714,0.187,0.243,0.304,1.039,0.759,,,,,,53.3
IE00BK5BCH80,8.16,14.15,29.96,87.09,24.34,-43.79,-2.45,-3.36,22.3785,0.187,0.283,0.186,1.032,0.364,,,,,,52.0
IE00BLRPRR04,7.24,11.09,10.24,32.86,19.5,-34.57,-1.94,-2.66,15.5075,0.187,0.289,0.209,1.032,0.467,,,,,,50.7
IE000V93BNU0,6.72,11.47,0.7,19.47,16.81,-31.09,-1.7,-2.4,12.4234,0.186,0.263,0.216,1.033,0.541,,,,,,52.2
IE0007P4PBU1,8.62,3.66,-11.91,13.1,27.18,-33.16,-2.47,-3.6,16.2047,0.185,0.287,0.26,1.032,0.532,,,,,,49.4
IE00B0M63730,7.58,16.46,21.97,67.64,21.99,-46.59,-2.07,-2.88,24.5239,0.181,0.286,0.163,1.032,0.309,,,,,,48.5
IE00BMH5YR69,9.42,22.77,17.44,78.11,32.4,-41.48,-2.85,-4.15,23.2816,0.18,0.248,0.227,1.035,0.405,,,,,,52.6
LU1681040900,3.96,0.7,2.11,5.22,2.05,-1.9,-0.16,-0.29,0.4,0.18,0.22,2.09,1.038,9.906,,,,,,58.6
LU1681038672,7.33,9.82,8.6,34.14,20.95,-32.58,-2.03,-3.01,13.6978,0.179,0.254,0.225,1.031,0.535,,,,,,51.8
IE00BKWQ0N82,5.98,-2.94,-3.87,-6.25,13.51,-20.2,-1.36,-1.94,7.0481,0.177,0.247,0.296,1.031,0.849,,,,,,50.3
IE00BM67HN09,5.7,0.37,6.75,4.57,11.97,-17.53,-1.19,-1.73,5.6081,0.176,0.249,0.325,1.03,1.017,,,,,,51.3
LU2491210618,6.23,1.92,2.45,11.82,14.99,-16.87,-1.4,-2.29,6.1295,0.176,0.171,0.369,1.042,1.017,,,,,,30.1
IE00BKPX3K41,7.38,16.51,18.12,56.35,21.54,-45.71,-1.96,-2.89,24.5126,0.176,0.262,0.161,1.034,0.301,,,,,,44.4
IE00B466KX20,7.08,16.5,14.2,53.07,19.91,-41.64,-2.02,-2.72,20.7072,0.175,0.267,0.17,1.03,0.342,,,,,,51.6
IE00B8KGV557,7.47,8.67,7.39,18.83,22.25,-28.11,-1.08,-1.99,8.7655,0.174,0.216,0.266,1.058,0.853,,,,,,51.0
IE0006QCIHM0,4.58,0.46,-1.86,1.67,5.65,-6.94,-0.54,-0.73,2.2271,0.174,0.29,0.66,1.029,2.056,,,,,,51.9
IE000589MF42,4.64,0.51,-1.75,0.21,6.05,-4.52,-0.53,-0.78,1.7584,0.173,0.263,1.026,1.032,2.638,,,,,,51.0
IE000MO2MB07,6.99,12.01,1.82,41.9,19.65,-33.93,-1.93,-2.73,18.4942,0.173,0.262,0.206,1.03,0.378,,,,,,49.9
IE00BNH72088,5.55,10.68,12.14,34.41,11.38,-29.69,-1.16,-1.64,15.4873,0.172,0.243,0.187,1.03,0.358,,,,,,51.3
LU0397221945,5.32,5.89,3.96,14.67,10.12,-17.16,-0.99,-1.49,7.5602,0.171,0.236,0.31,1.03,0.704,,,,,,52.4
IE00BGYWSW13,3.87,0.25,0.3,1.98,1.62,-0.94,-0.15,-0.22,0.2681,0.17,0.24,4.135,1.03,14.429,,,,,,56.9
IE00BP3QZD73,6.34,5.7,4.95,19.7,16.17,-30.13,-1.68,-2.3,11.604,0.17,0.247,0.21,1.029,0.546,,,,,,51.6
IE00BYTRR756,5.62,0.55,6.79,4.41,12.03,-17.62,-1.18,-1.73,5.6192,0.169,0.24,0.319,1.029,1.001,,,,,,51.8
LU0322250712,7.5,5.64,-14.62,-13.71,23.35,-36.85,-2.47,-3.54,19.0847,0.167,0.221,0.204,1.03,0.393,,,,,,53.8
IE00B1TXHL60,7.28,7.62,-11.94,-4.16,22.19,-38.86,-2.27,-3.21,16.1016,0.166,0.236,0.187,1.029,0.452,,,,,,52.2
IE00B5SG8Z57,6.44,4.22,6.33,23.44,17.22,-25.42,-1.67,-2.42,9.9174,0.166,0.24,0.253,1.028,0.65,,,,,,51.8
LU1681043169,6.41,7.94,-12.09,-9.7,16.94,-27.59,-1.63,-2.36,11.4695,0.166,0.236,0.232,1.029,0.559,,,,,,52.7
IE000X9TLGN8,6.84,11.67,2.06,42.2,19.7,-34.47,-1.92,-2.75,18.9409,0.165,0.249,0.198,1.028,0.361,,,,,,50.1
LU0446734526,6.37,6.59,8.8,26.68,16.92,-26.78,-1.68,-2.51,9.948,0.164,0.213,0.238,1.031,0.64,,,,,,44.1
IE00B52MJY50,6.47,4.14,7.91,25.52,17.55,-25.87,-1.76,-2.6,9.9034,0.164,0.228,0.25,1.028,0.653,,,,,,50.8
IE000UX5WPU4,4.35,1.02,-0.98,2.13,4.66,-9.99,-0.43,-0.62,3.0761,0.162,0.25,0.435,1.029,1.414,,,,,,51.9
IE00B9KNR336,5.97,2.82,3.79,18.73,14.78,-35.08,-1.49,-2.02,12.6294,0.161,0.249,0.17,1.027,0.473,,,,,,51.1
LU1861137484,5.95,6.84,-0.63,0.76,14.67,-24.19,-1.5,-2.14,8.0763,0.161,0.227,0.246,1.028,0.737,,,,,,52.4
LU1681041890,5.91,3.22,1.6,4.75,14.41,-21.2,-1.48,-2.09,7.7668,0.161,0.225,0.279,1.028,0.761,,,,,,52.7
IE00BM9TSP27,6.67,14.16,11.47,43.91,19.38,-38.7,-1.91,-2.65,20.6196,0.159,0.24,0.172,1.028,0.324,,,,,,49.9
LU0599613147,5.99,5.43,3.58,11.78,15.47,-30.1,-1.54,-2.35,10.4946,0.155,0.198,0.199,1.029,0.571,,,,,,46.9
IE00BJ38QD84,7.01,12.14,9.03,41.98,22.23,-32.04,-2.21,-3.07,17.0256,0.154,0.237,0.219,1.026,0.412,,,,,,51.1
LU1681042435,6.08,4.76,0.04,6.33,16.13,-24.88,-1.64,-2.3,9.5277,0.154,0.21,0.244,1.027,0.638,,,,,,52.1
IE00B52VJ196,5.8,6.41,1.09,2.51,14.46,-23.66,-1.51,-2.11,7.9747,0.153,0.216,0.245,1.026,0.727,,,,,,52.7
IE00B60SX402,7.01,12.52,9.1,39.73,22.28,-31.97,-2.2,-3.09,16.9761,0.153,0.235,0.219,1.026,0.413,,,,,,50.9
IE00B3VVMM84,6.31,10.38,5.42,32.89,17.76,-33.4,-1.76,-2.39,15.6747,0.153,0.236,0.189,1.026,0.403,,,,,,49.8
IE00BK5BR733,6.23,10.1,5.49,32.23,17.6,-33.45,-1.7,-2.4,15.7401,0.15,0.23,0.186,1.026,0.396,,,,,,50.5
IE00BMD8KP97,6.47,9.76,6.65,36.87,19.12,-32.1,-1.91,-2.85,16.503,0.15,0.207,0.201,1.026,0.392,,,,,,51.2
IE00BGDPWW94,5.73,6.65,0.95,2.54,14.39,-23.42,-1.48,-2.1,7.8342,0.149,0.206,0.245,1.026,0.731,,,,,,51.8
IE00BJZ2DD79,6.89,12.55,9.01,38.96,22.17,-32.09,-2.14,-3.06,16.9946,0.149,0.23,0.215,1.025,0.406,,,,,,51.5
