ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
LU1435356149,3.95,4.2,0.084,-2.79,,,1.88,1.93,
IE00BFZPF439,3.97,5.74,0.066,-3.6,,,1.82,,
IE00BDFC6Q91,3.63,0.94,0.045,-0.34,,,0.49,,
LU1923163676,3.65,1.54,0.035,-0.37,,,0.21,1.82,
IE000AYEFBK6,3.7,2.95,0.035,-1.32,,,1.02,1.83,
IE000XIBT2R7,3.83,9.89,0.024,-7.32,,,4.04,,
LU1659681669,3.54,11.79,-0.004,-8.13,,,7.06,,
IE000SU7USQ3,3.46,12.26,-0.01,-8.76,,,7.32,,
IE000IIED424,3.28,12.39,-0.025,-8.94,,,6.99,,
IE000GE2BEZ9,3.48,3.7,-0.03,-2.66,,,1.52,1.71,
LU1547515053,3.41,5.57,-0.032,-4.27,,,2.23,,
LU2099295466,3.25,5.36,-0.063,-3.92,,,1.69,1.56,
IE000F9AQNW6,2.71,13.35,-0.066,-7.16,,,5.63,,
IE000L0X6L81,3.36,3.26,-0.072,-1.18,,,0.0,,
IE0008YWAFL1,3.36,3.01,-0.079,-1.33,,,0.94,1.66,
IE000W1AURU9,3.28,3.75,-0.082,-2.64,,,1.61,1.61,
FR0010527275,2.39,12.23,-0.099,-8.54,,,2.43,0.82,
IE00BJK55B31,3.14,4.48,-0.101,-2.56,,,1.54,,
IE00069MGEE1,2.95,5.47,-0.117,-3.22,,,0.45,,
IE000DYQE2Q3,2.61,7.63,-0.129,-4.12,,,1.94,,
IE0006XQ3YX3,1.66,12.99,-0.149,-11.04,,,0.79,,
IE0004D7VJE6,2.71,5.86,-0.151,-3.7,,,0.02,,
LU2872291948,2.82,5.03,-0.154,-3.69,,,1.96,,
IE000J4FE268,2.7,5.73,-0.156,-3.44,,,0.02,,
IE000BWITBP9,2.64,5.86,-0.163,-3.19,,,-0.77,1.23,
IE00BMXC7V63,1.45,13.07,-0.164,-10.76,,,7.84,,
IE0000JVOLK2,2.6,5.55,-0.179,-2.96,,,0.65,,
IE00BMDPBZ72,1.0,12.9,-0.201,-10.58,,,7.76,,
IE000CWS09Q9,3.14,2.23,-0.205,-1.38,,,0.8,1.56,
IE00058B19U6,0.91,12.95,-0.207,-11.01,,,7.08,0.04,
LU3138597383,0.98,12.48,-0.21,-3.12,,,-0.01,,
IE000O2QIHN4,2.45,5.32,-0.215,-3.17,,,0.47,,
IE000YZIVX22,2.26,6.18,-0.216,-4.56,,,2.16,,
IE00BKVL7778,1.57,8.25,-0.245,-6.03,,,0.98,0.61,
IE00BM9GRM34,2.05,6.07,-0.255,-3.53,,,1.15,,
IE0006OIQXE9,1.89,6.54,-0.261,-5.15,,,2.01,,
LU2194449075,0.32,12.06,-0.271,-7.9,,,3.94,,
IE000N3TZN02,2.09,5.44,-0.276,-3.07,,,-0.54,,
LU3119430570,1.12,8.95,-0.276,-5.43,,,0.52,,
IE00B6X2VY59,2.69,3.2,-0.283,-1.02,,,0.68,1.32,
IE0007G78AC4,2.23,4.69,-0.291,-2.3,,,0.82,1.06,
LU1547515137,1.86,5.44,-0.319,-4.4,,,2.29,,
