ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
IE00096S6AV7,9.63,13.58,0.445,-11.16,,,7.67,4.42,
IE000PY7F8J9,13.07,21.4,0.443,-12.69,,,8.07,5.5,
IE00BHXMHQ65,9.25,13.07,0.433,-9.3,,,7.68,,
LU2777377875,9.56,13.93,0.428,-10.49,,,4.7,4.36,
LU1681042864,9.25,13.26,0.427,-9.93,,,8.15,4.24,
IE00BNGFMX61,12.71,21.43,0.426,-10.5,,,2.07,,
IE000N4E8XZ6,5.22,3.82,0.425,-2.16,,,1.7,2.58,
LU1377382442,9.49,13.91,0.424,-10.49,,,4.7,4.32,
IE000L2ZNB07,9.81,14.68,0.423,-10.83,,,9.94,4.43,
IE00BFNNN236,7.49,9.22,0.422,-5.11,,,2.26,,
IE00BKLWY790,9.9,15.06,0.419,-10.65,,,9.11,4.45,
LU2870272577,8.89,12.91,0.41,-8.58,,,7.82,,
IE00BJ5JNY98,12.56,21.95,0.409,-16.07,,,14.72,5.18,
IE000AON7ET1,16.43,31.56,0.407,-17.63,,,6.23,,
IE000M86QRT4,8.55,12.28,0.404,-8.76,,,4.79,,
IE000O8KMPM1,13.78,25.36,0.402,-11.39,,,1.4,5.39,
IE0009Y1MQJ2,9.94,15.88,0.4,-9.03,,,6.88,4.41,
IE000CN8T855,8.78,13.03,0.398,-8.56,,,7.89,,
IE000UZO4IC7,6.21,6.57,0.398,-3.98,,,2.21,,
IE000EETFH77,9.04,13.73,0.397,-9.71,,,8.68,4.1,
IE00B57X3V84,9.3,14.72,0.388,-9.42,,,6.58,,
IE000LZI2UH4,5.0,3.64,0.388,-2.0,,,1.87,,
LU2641925016,8.24,12.13,0.383,-8.39,,,6.37,3.8,
IE00BM9GRP64,6.34,7.17,0.383,-4.02,,,2.15,,
LU1615092217,8.39,12.78,0.375,-8.26,,,6.37,,
IE00BFZPF322,6.21,7.02,0.373,-3.51,,,1.47,3.0,
IE000SM6I1K9,20.08,44.26,0.372,-11.87,,,0.0,,
LU2130768844,8.97,14.86,0.362,-10.62,,,5.25,3.98,
IE000QWCYQT0,8.26,12.92,0.361,-7.94,,,6.95,,
IE00BG0TQB18,5.36,4.96,0.357,-3.81,,,1.45,,
LU2491210618,7.75,11.78,0.353,-5.97,,,2.08,,
IE000IP0UC52,8.73,14.58,0.353,-11.44,,,9.04,,
IE0006IP4XZ8,7.86,12.22,0.349,-8.24,,,7.45,3.6,
LU0629460089,8.97,15.47,0.348,-10.5,,,10.11,,
IE00BFMNPS42,8.66,14.53,0.348,-11.83,,,9.21,3.85,
IE00032YLFR3,7.58,11.59,0.344,-7.86,,,6.34,3.49,
IE00094KNQN4,4.82,3.59,0.341,-1.96,,,1.64,2.38,
